Statistics,Tu,Tv,Tw,Ta,Tb,Tc,Td,Te,Tf,Tb-c,Tb-d,Tp1,Tp2,Tp1-dp,Tp2-dp
mean,0.09156521739130433,0.22834782608695656,0.36613043478260865,0.03895652173913043,0.13573913043478264,0.1955652173913043,0.1955652173913043,0.28939130434782606,0.43147826086956526,0.05982608695652174,0.05982608695652174,0.1764782608695652,0.2747826086956522,0.24000000000000005,0.14169565217391306
median,0.088,0.232,0.368,0.04,0.136,0.2,0.2,0.288,0.432,0.05600000000000002,0.05600000000000002,0.176,0.32,0.24,0.1
std,0.005762140958966719,0.006231816649450059,0.007845266353591207,0.0063209675983952164,0.00702305143208914,0.017628598521218477,0.017628598521218477,0.006888800807074201,0.02102766204047585,0.01921876839449225,0.01921876839449225,0.01332330278029533,0.06345896073481297,0.015356630065106139,0.06175895272724412
percentile_25,0.088,0.224,0.36,0.032,0.128,0.176,0.176,0.288,0.416,0.04000000000000001,0.04000000000000001,0.168,0.208,0.232,0.088
percentile_75,0.096,0.232,0.368,0.04,0.136,0.208,0.208,0.296,0.448,0.07999999999999999,0.07999999999999999,0.184,0.336,0.248,0.208
iqr,0.008000000000000007,0.008000000000000007,0.008000000000000007,0.008,0.008000000000000007,0.032,0.032,0.008000000000000007,0.03200000000000003,0.03999999999999998,0.03999999999999998,0.015999999999999986,0.12800000000000003,0.015999999999999986,0.12
skew,0.49586904515301994,0.027842074687295403,-0.14172603615035256,0.6980683620957528,0.25607847480722,-0.0004054270886649414,-0.0004054270886649414,0.01573636569050148,-0.2990513243680682,0.15846491528738907,0.15846491528738907,1.5359273086804257,-0.08376473402133869,-1.5858936627133478,0.10746353994311147
kurtosis,0.3564896230623509,0.28868059801437873,0.2994689138594633,1.1175353473070286,0.30560060958606616,-1.1238471386689353,-1.1238471386689353,-0.07621495344186258,-0.07661040949734144,-1.517170880767967,-1.517170880767967,3.584231786421509,-1.90647645210486,3.8230871642258792,-1.8218742349635997
mad,0.004977315689981096,0.005336483931947071,0.006116729678638957,0.0046351606805293015,0.0049801512287334475,0.01561342155009452,0.01561342155009452,0.0053383742911153045,0.01695463137996219,0.017822306238185256,0.017822306238185256,0.009284499054820405,0.06274858223062384,0.010260869565217403,0.06029111531190927
