Statistics,Tpi,Tpp,Tsys,Tdia,Tsp,Tdp,deltaT,Tsw10,Tsw25,Tsw33,Tsw50,Tsw66,Tsw75,Tsw90,Tdw10,Tdw25,Tdw33,Tdw50,Tdw66,Tdw75,Tdw90,Tpw10,Tpw25,Tpw33,Tpw50,Tpw66,Tpw75,Tpw90,Asp,Adn,Adp,Aoff,AUCpi,AUCsys,AUCdia
mean,0.604695652173913,0.604695652173913,0.34321739130434775,0.18821739130434786,0.16108695652173885,0.4164782608695653,0.25539130434782636,0.11665217391304368,0.09604347826087013,0.08773913043478275,0.07178260869565278,0.0576956521739127,0.04873913043478309,0.030565217391304026,0.3660434782608693,0.16895652173913026,0.12169565217391297,0.09330434782608668,0.07078260869565205,0.05821739130434746,0.03404347826086895,0.48269565217391297,0.2650000000000004,0.20943478260869575,0.16508695652173946,0.12847826086956476,0.10695652173913055,0.06460869565217299,1.5615866995657055,0.3009222989536603,0.036071164009041895,-0.004589397561760865,4.953161117523668,3.410822935470487,1.542338182053181
median,0.6000000000000085,0.6000000000000014,0.344,0.18399999999999966,0.16000000000000014,0.416,0.2560000000000034,0.11999999999999744,0.09600000000000186,0.08800000000000097,0.07200000000000273,0.05600000000000005,0.04800000000000182,0.031999999999996476,0.367999999999995,0.1440000000000019,0.12000000000000455,0.09599999999999653,0.07200000000000006,0.05600000000000005,0.03200000000000003,0.480000000000004,0.240000000000002,0.2079999999999984,0.16799999999999926,0.1280000000000001,0.10399999999999943,0.06400000000000006,1.5724048106721435,0.30440053818319257,0.04151770839726432,-0.009174691044417982,8.394647765529832,4.910219009688037,3.433168342648678
std,0.014137322735931636,0.013482467786653646,0.009254641710769075,0.015512846070102951,0.005766568141324957,0.01300625122348745,0.011955494026978477,0.004597813238752857,0.0038671218470540205,0.0037208857209273015,0.003676677632332979,0.0035744842450548607,0.003199421025127996,0.0033921403651807117,0.01868730855273627,0.0501592925725631,0.007383499715780647,0.005440866160334887,0.004634056554600387,0.004206170640330956,0.003776106355235805,0.01890119568936603,0.050328054238945596,0.007438595513510056,0.005915440690543119,0.005480158401530264,0.004525082376089983,0.0035842545818306915,0.12815612248061192,0.08035316698609503,0.0852155905451828,0.08941039361028148,40.35005999578416,17.791721919180176,22.56228051976205
percentile_25,0.5919999999999996,0.592,0.336,0.17600000000000054,0.1599999999999966,0.408,0.24800000000000072,0.11200000000000188,0.09599999999999653,0.08799999999999386,0.07199999999999918,0.055999999999997385,0.04800000000000004,0.031999999999996476,0.35999999999999943,0.13600000000000279,0.11999999999999744,0.08800000000000097,0.07199999999998852,0.055999999999997385,0.031999999999996476,0.47999999999998977,0.23199999999999932,0.2079999999999984,0.1599999999999966,0.1280000000000001,0.1039999999999992,0.06399999999999295,1.4800605572212016,0.2635874143389307,-0.0019544973629550544,-0.04137376958298078,4.172873738003789,3.120269812954922,0.9991416484445429
percentile_75,0.6159999999999997,0.6080000000000041,0.352,0.19200000000000855,0.16799999999999216,0.424,0.26399999999999985,0.12000000000000455,0.09600000000000364,0.08800000000000097,0.07200000000000273,0.056000000000011596,0.04800000000000182,0.03200000000000003,0.37599999999999767,0.17799999999999905,0.1280000000000001,0.09600000000000364,0.07200000000000273,0.06400000000000006,0.03999999999999204,0.48799999999999955,0.27399999999999913,0.2159999999999993,0.16800000000000015,0.1280000000000001,0.11200000000000003,0.06400000000000716,1.6514822767117756,0.3423398067180042,0.08808665648549904,0.042896609358677146,10.987445255184698,6.031222536252784,4.883501097709514
iqr,0.02400000000000002,0.016000000000004122,0.01599999999999996,0.016000000000008008,0.007999999999995566,0.016000000000000014,0.015999999999999126,0.008000000000002672,7.105427357601002e-15,7.105427357601002e-15,3.552713678800501e-15,1.4210854715202004e-14,1.7763568394002505e-15,3.552713678800501e-15,0.015999999999998238,0.04199999999999626,0.008000000000002672,0.008000000000002672,1.4210854715202004e-14,0.008000000000002672,0.007999999999995566,0.008000000000009777,0.041999999999999815,0.008000000000000895,0.00800000000000356,0.0,0.008000000000000826,1.4210854715202004e-14,0.17142171949057405,0.0787523923790735,0.0900411538484541,0.08427037894165793,6.814571517180909,2.910952723297862,3.8843594492649713
skew,0.5918497005927832,0.8476190707617525,-0.04058848722317638,1.1194446135289498,0.051801174916649116,-0.8249335660814106,-1.43314709161837,-0.6645718762950119,0.01438531102507382,-0.11341586057194886,-0.10234586847257672,1.2118480058293986,1.2487957382236903,-1.0079910137187402,-7.230666910141245,1.2989139203579765,0.356611063906465,0.12219884603368927,-0.312233464374331,0.40336967609053986,0.6469815966000384,-6.670510163860838,1.2901417897290015,0.12402664012696527,0.2121510716623551,0.12638783617579352,0.16349688574845608,0.33165332325158875,-0.6632356918358359,-2.4634950289594904,-2.6910365770439215,-3.394965130492061,-10.3194457738114,-10.414039840589247,-10.23999382996348
kurtosis,-0.19276713621039132,0.30590565917556,-0.37408656643475524,1.3344959502724683,0.43053678066469026,2.887703820575977,5.98042993035658,1.0167699469808893,3.667668090022044,4.371209353089772,4.629489318273464,1.0722186137455259,4.658288584856639,0.746241920283274,77.70567975235895,0.14286090944553242,1.4540051135356267,0.23069812050083582,0.5975461218013791,-0.11903346422572536,-0.4405250280199082,69.32305115359334,0.11503509918839727,0.14784158190467522,-0.07816375133711473,0.24211223559689365,-0.43679103875145087,1.7262635189278424,2.079197678514337,18.36976783759724,19.713910745045915,28.665933081487967,126.80051912607061,128.03781218371375,125.74661175829948
mad,0.011589792060491629,0.010801512287334952,0.007194706994328923,0.012071833648393673,0.004191871455576585,0.009523156899810982,0.008713610586011573,0.004190926275992557,0.0017301512287334548,0.0017693761814741604,0.0016942344045366663,0.00282797731568972,0.001823251417769412,0.0025689981096405543,0.009533553875235948,0.04107655954631383,0.005502835538752375,0.004643667296787086,0.0033440453686204817,0.003606805293006235,0.0032372400756146475,0.010261814744801324,0.04105434782608679,0.005672967863894127,0.005087429111531596,0.003694706994328753,0.004120982986767822,0.0020888468809074543,0.09983860965140717,0.05441729135300808,0.05873858147868913,0.057179007857932576,10.542874120576029,4.585252183564578,5.957833022432625
